kind,idx,us,extra
rollover,1303,6,
rollover,1304,6,
rollover,1305,8,
rollover,1306,7,
rollover,1307,14,
rollover,1308,15,
rollover,1309,6,
rollover,1310,20,
rollover,1311,5,
rollover,1312,6,
rollover,1313,7,
rollover,1314,33,
rollover,1315,8,
rollover,1316,6,
rollover,1317,21,
rollover,1318,6,
rollover,1319,6,
rollover,1320,18,
rollover,1321,9,
rollover,1322,7,
rollover,1323,12,
rollover,1324,9,
rollover,1325,7,
rollover,1326,7,
rollover,1327,19,
rollover,1328,8,
rollover,1329,11,
rollover,1330,9,
rollover,1331,25,
rollover,1332,7,
rollover,1333,8,
rollover,1334,7,
rollover,1335,8,
rollover,1336,15,
rollover,1337,21,
rollover,1338,7,
rollover,1339,7,
rollover,1340,7,
rollover,1341,7,
rollover,1342,7,
rollover,1343,7,
rollover,1344,7,
rollover,1345,6,
rollover,1346,6,
rollover,1347,6,
rollover,1348,7,
rollover,1349,24,
rollover,1350,5,
rollover,1351,8,
rollover,1352,7,
rollover,1353,7,
rollover,1354,6,
rollover,1355,22,
rollover,1356,7,
rollover,1357,6,
rollover,1358,6,
rollover,1359,6,
rollover,1360,7,
rollover,1361,18,
rollover,1362,21,
rollover,1363,19,
rollover,1364,16,
rollover,1365,8,
rollover,1366,7,
rollover,1367,6,
rollover,1368,6,
rollover,1369,20,
rollover,1370,22,
rollover,1371,7,
rollover,1372,9,
rollover,1373,7,
rollover,1374,7,
rollover,1375,5,
rollover,1376,15,
rollover,1377,16,
rollover,1378,14,
rollover,1379,8,
rollover,1380,7,
rollover,1381,7,
rollover,1382,13,
rollover,1383,10,
rollover,1384,7,
rollover,1385,10,
rollover,1386,6,
rollover,1387,7,
rollover,1388,7,
rollover,1389,6,
rollover,1390,14,
rollover,1391,7,
rollover,1392,5,
rollover,1393,14,
rollover,1394,7,
rollover,1395,10,
rollover,1396,36,
rollover,1397,9,
rollover,1398,13,
rollover,1399,10,
rollover,1400,7,
rollover,1401,7,
rollover,1402,6,
rollover,1403,5,
rollover,1404,7,
rollover,1405,8,
rollover,1406,7,
rollover,1407,6,
rollover,1408,7,
rollover,1409,6,
rollover,1410,5,
rollover,1411,7,
rollover,1412,7,
rollover,1413,15,
rollover,1414,6,
rollover,1415,3,
rollover,1416,6,
rollover,1417,6,
rollover,1418,5,
rollover,1419,6,
rollover,1420,8,
rollover,1421,6,
rollover,1422,6,
rollover,1423,6,
rollover,1424,5,
rollover,1425,9,
rollover,1426,6,
rollover,1427,13,
rollover,1428,7,
rollover,1429,7,
rollover,1430,32,
rollover,1431,7,
rollover,1432,7,
